D:\FCM\sort original MDS42\2021.01.10\OS1 before sort_7.daf
All

Object Number	Area_M02	Aspect Ratio Intensity_M02_Ch02	Height_M02	Intensity_MC_Ch02	Length_M02	Width_M02
0	5.88888888888889	0.786141672860152	2.66666666666667	1128.14285714286	2.66666666666667	2.66666666666667
1	6.55555555555555	0.726352924579328	3	2304.18965517242	3	2.66666666666667
2	7.33333333333333	0.912442221929083	3	1735.31999999997	3	2.66666666666667
3	8.22222222222222	0.392338498235227	4	3746.16379310343	4	2.33333333333333
4	11.3333333333333	0.41009226083364	4.66666666666667	3365.7462121212	4.66666666666667	3
5	8.66666666666667	0.653978824498284	3.66666666666667	2447.42647058823	3.66666666666667	3
6	17.2222222222222	0.603968568572326	5.33333333333333	2988.52702702701	5.33333333333333	3.66666666666667
7	7.66666666666667	0.864876041438287	3.33333333333333	1039.48275862069	3.33333333333333	3
8	3.55555555555556	0.776440047863459	2	359.1	2	2
9	4.66666666666667	0.826959518366024	2.33333333333333	1620.98706896551	2.33333333333333	2.33333333333333
10	5.77777777777778	0.748107281938759	2.66666666666667	1108.34375	2.66666666666667	2.33333333333333
11	5.22222222222222	0.810237521602607	2.66666666666667	1579.54347826087	2.66666666666667	2.33333333333333
12	2.55555555555556	0.793754872265812	1.66666666666667	1167.16129032258	1.66666666666667	1.66666666666667
13	0	0	0	1057.51785714286	0	0
14	13.4444444444444	0.360256705257924	4.33333333333333	1638.68571428571	4.33333333333333	4
15	7.33333333333333	0.572042115082537	3	1933.53703703704	3	3
16	6.44444444444444	0.893762576835997	3	1263.07142857143	3	2.66666666666667
17	5.88888888888889	0.629348005121073	2.66666666666667	2060.29464285715	2.66666666666667	2.66666666666667
18	7.88888888888889	0.483836396351734	3.66666666666667	3203.49999999999	3.66666666666667	2.66666666666667
19	0	0	0	757.454545454545	0	0
20	8.22222222222222	0.6125345819827	3.33333333333333	3024.03448275862	3.33333333333333	3
21	9.44444444444444	0.663135342373173	3.66666666666667	4388.58333333333	3.66666666666667	3
22	4.55555555555556	0.567344623385885	2.66666666666667	1368.81896551724	2.66666666666667	2
23	5.66666666666667	0.759140864505553	2.66666666666667	2201.39351851852	2.66666666666667	2.66666666666667
24	7.44444444444444	0.613009826218247	3.33333333333333	2180	3.33333333333333	2.66666666666667
25	6	0.701449916319711	3	1516.86309523809	3	2.33333333333333
26	9.77777777777778	0.633508745232691	4	2753.71370967741	4	3
27	6.55555555555555	0.66155772068752	3	1891.14705882353	3	2.66666666666667
28	4.88888888888889	0.839585014447972	2.33333333333333	857.374999999999	2.33333333333333	2.33333333333333
29	7	0.670077230352033	3	1911.5	3	2.66666666666667
30	9.44444444444444	0.538050345074726	4	2286	4	3
31	10	0.610768017885556	4.33333333333333	2198.36046511629	4.33333333333333	3
32	0	0	0	640.200000000001	0	0
33	5.22222222222222	0.819006184280116	2.66666666666667	823.461206896554	2.66666666666667	2.33333333333333
34	4.88888888888889	0.351734878667396	3.33333333333333	798.689655172412	3.33333333333333	1.66666666666667
35	12.4444444444444	0.684351115678554	4.33333333333333	3761.3125	4.33333333333333	3.33333333333333
36	6.11111111111111	0.637902855993441	3	1650.77976190476	3	2.33333333333333
37	5.33333333333333	0.865666990977033	2.66666666666667	2731.86904761905	2.66666666666667	2.33333333333333
38	6.44444444444444	0.728217738649546	3.33333333333333	1007.30434782609	3.33333333333333	2.33333333333333
39	15.1111111111111	0.936732770836779	4.33333333333333	1260.76086956523	4.33333333333333	4.33333333333333
40	2.77777777777778	0.54510782502826	2.33333333333333	336.96551724138	2.33333333333333	1.33333333333333
41	0	0	0	554.995192307691	0	0
42	0	0	0	696.575000000002	0	0
43	5.66666666666667	0.78351758930196	3	4025.43103448275	3	2.33333333333333
44	0	0	0	684.081896551725	0	0
45	5.55555555555555	0.729580291450895	2.66666666666667	1225.10714285714	2.66666666666667	2.33333333333333
46	0	0	0	529.714285714285	0	0
47	5.77777777777778	0.725185780882821	2.66666666666667	1790.88888888888	2.66666666666667	2.66666666666667
48	6.11111111111111	0.879535910167589	2.66666666666667	1213.44642857143	2.66666666666667	2.66666666666667
49	4.44444444444444	0.513976543925439	2.66666666666667	640.895833333334	2.66666666666667	2
50	2.77777777777778	0.565434793555474	2	308.04761904762	2	1.66666666666667
51	8.44444444444444	0.429342554222005	4	2323.17241379311	4	2.66666666666667
52	6.55555555555555	0.631335063881881	3.33333333333333	1705.28928571429	3.33333333333333	2.33333333333333
53	8.22222222222222	0.502826224373271	4	2387.39583333333	4	2.66666666666667
54	7.33333333333333	0.586515585021685	3.33333333333333	4713.09821428571	3.33333333333333	2.66666666666667
55	6.22222222222222	0.83776074753402	3	1070.34090909091	3	2.33333333333333
56	9.55555555555555	0.453605057409236	4.66666666666667	2821.50431034481	4.66666666666667	2.66666666666667
57	9.66666666666667	0.718432946316711	3.66666666666667	1495.86805555556	3.66666666666667	3
58	8.22222222222222	0.916694260372526	3.33333333333333	1690.66666666667	3.33333333333333	3
59	6.77777777777778	0.729082243370378	3	973.714285714284	3	2.66666666666667
60	0	0	0	497.333333333333	0	0
61	6.11111111111111	0.640015848018769	2.66666666666667	1554.36538461539	2.66666666666667	2.66666666666667
62	0	0	0	661.897321428571	0	0
63	8	0.808119837248203	3.33333333333333	1221.16517857143	3.33333333333333	3
64	0	0	0	447.619318181819	0	0
65	0	0	0	291.407407407407	0	0
66	4.66666666666667	0.699621548376139	2.66666666666667	1162	2.66666666666667	2
67	11.8888888888889	0.584986206323096	4.66666666666667	1873.94256756759	4.66666666666667	3.33333333333333
68	6.11111111111111	0.659521754866186	3	1655.19642857143	3	2.33333333333333
69	5.77777777777778	0.638687154069787	3	1575.43055555556	3	2.33333333333333
70	5.33333333333333	0.686860053360232	2.66666666666667	1394.17592592593	2.66666666666667	2.33333333333333
71	5.11111111111111	0.759606181815479	2.66666666666667	1534.09615384616	2.66666666666667	2.33333333333333
72	8.44444444444444	0.886565700638293	3.33333333333333	904.714285714284	3.33333333333333	3
73	0	0	0	657.923076923076	0	0
74	0	0	0	746.58620689655	0	0
75	10.3333333333333	0.372273378467178	5	3689.04166666666	5	2.66666666666667
76	9.77777777777778	0.616519547988641	4	2874.92241379311	4	3
77	9.77777777777778	0.698455500052126	3.66666666666667	3494.58189655174	3.66666666666667	3.33333333333333
78	8.77777777777778	0.330898119102836	4.66666666666667	2270.91666666667	4.66666666666667	2.33333333333333
79	0	0	0	355.15340909091	0	0
80	8.88888888888889	0.797010709342313	3.66666666666667	1947.10185185186	3.66666666666667	3
