D:\FCM\sort original MDS42\2021.01.10\OS1 before sort_7.daf
All

Object Number	Area_M02	Aspect Ratio Intensity_M02_Ch02	Aspect Ratio_M02	Height_M02	Intensity_MC_Ch02	Length_M02	Width_M02
0	5.88888888888889	0.786141672860152	0.841246051233765	2.66666666666667	1128.14285714286	2.66666666666667	2.66666666666667
1	6.55555555555555	0.726352924579328	0.849350056875715	3	2304.18965517242	3	2.66666666666667
2	7.33333333333333	0.912442221929083	0.884015369460833	3	1735.31999999997	3	2.66666666666667
3	8.22222222222222	0.392338498235227	0.578511588034172	4	3746.16379310343	4	2.33333333333333
4	11.3333333333333	0.41009226083364	0.632851236475243	4.66666666666667	3365.7462121212	4.66666666666667	3
5	8.66666666666667	0.653978824498284	0.743612057843338	3.66666666666667	2447.42647058823	3.66666666666667	3
6	17.2222222222222	0.603968568572326	0.655332178951029	5.33333333333333	2988.52702702701	5.33333333333333	3.66666666666667
7	7.66666666666667	0.864876041438287	0.904696829621803	3.33333333333333	1039.48275862069	3.33333333333333	3
8	3.55555555555556	0.776440047863459	0.882649185215033	2	359.1	2	2
9	4.66666666666667	0.826959518366024	0.949089024567232	2.33333333333333	1620.98706896551	2.33333333333333	2.33333333333333
10	5.77777777777778	0.748107281938759	0.777632367918262	2.66666666666667	1108.34375	2.66666666666667	2.33333333333333
11	5.22222222222222	0.810237521602607	0.869479974531852	2.66666666666667	1579.54347826087	2.66666666666667	2.33333333333333
12	2.55555555555556	0.793754872265812	0.824621125123532	1.66666666666667	1167.16129032258	1.66666666666667	1.66666666666667
13	0	0	0	0	1057.51785714286	0	0
14	13.4444444444444	0.360256705257924	0.410898744196044	4.33333333333333	1638.68571428571	4.33333333333333	4
15	7.33333333333333	0.572042115082537	0.717288862054097	3	1933.53703703704	3	3
16	6.44444444444444	0.893762576835997	0.891671464843034	3	1263.07142857143	3	2.66666666666667
17	5.88888888888889	0.629348005121073	0.79001184389195	2.66666666666667	2060.29464285715	2.66666666666667	2.66666666666667
18	7.88888888888889	0.483836396351734	0.687745506245369	3.66666666666667	3203.49999999999	3.66666666666667	2.66666666666667
19	0	0	0	0	757.454545454545	0	0
20	8.22222222222222	0.6125345819827	0.72732926684645	3.33333333333333	3024.03448275862	3.33333333333333	3
21	9.44444444444444	0.663135342373173	0.783448535588525	3.66666666666667	4388.58333333333	3.66666666666667	3
22	4.55555555555556	0.567344623385885	0.679019490019866	2.66666666666667	1368.81896551724	2.66666666666667	2
23	5.66666666666667	0.759140864505553	0.853850336684777	2.66666666666667	2201.39351851852	2.66666666666667	2.66666666666667
24	7.44444444444444	0.613009826218247	0.736905834732364	3.33333333333333	2180	3.33333333333333	2.66666666666667
25	6	0.701449916319711	0.762931814295276	3	1516.86309523809	3	2.33333333333333
26	9.77777777777778	0.633508745232691	0.727927419479812	4	2753.71370967741	4	3
